id,rating,fresh,date,year
3,3.0,fresh,"November 10, 2018",2018
3,3.0,rotten,"May 23, 2018",2018
3,3.0,fresh,"January 4, 2018",2018
3,3.0,fresh,"November 16, 2017",2017
3,3.0,fresh,"October 12, 2017",2017
3,3.0,fresh,"September 11, 2017",2017
3,3.0,rotten,"July 17, 2013",2013
3,2.0,rotten,"April 21, 2013",2013
3,3.0,fresh,"March 24, 2013",2013
3,3.0,fresh,"March 4, 2013",2013
3,3.0,fresh,"February 12, 2013",2013
3,3.0,fresh,"February 3, 2013",2013
3,2.0,rotten,"January 15, 2013",2013
3,3.0,fresh,"January 7, 2013",2013
3,3.0,fresh,"October 20, 2012",2012
3,3.0,fresh,"September 27, 2012",2012
3,4.0,fresh,"September 26, 2012",2012
3,3.0,fresh,"September 25, 2012",2012
3,2.0,rotten,"September 14, 2012",2012
3,4.0,fresh,"September 10, 2012",2012
3,6.0,fresh,"September 7, 2012",2012
3,1.0,rotten,"September 7, 2012",2012
3,8.0,fresh,"September 7, 2012",2012
3,2.0,rotten,"September 7, 2012",2012
3,2.5,rotten,"September 6, 2012",2012
3,4.0,rotten,"September 5, 2012",2012
3,3.0,fresh,"September 4, 2012",2012
3,2.5,fresh,"September 4, 2012",2012
3,3.0,fresh,"September 4, 2012",2012
3,2.0,rotten,"September 2, 2012",2012
3,3.0,rotten,"September 1, 2012",2012
3,7.0,fresh,"August 31, 2012",2012
3,3.0,rotten,"August 31, 2012",2012
3,3.0,fresh,"August 30, 2012",2012
3,3.0,rotten,"August 30, 2012",2012
3,3.0,fresh,"August 30, 2012",2012
3,4.0,fresh,"August 29, 2012",2012
3,3.0,fresh,"August 28, 2012",2012
3,3.0,fresh,"August 27, 2012",2012
3,3.0,rotten,"August 25, 2012",2012
3,5.0,fresh,"August 24, 2012",2012
3,3.0,fresh,"August 24, 2012",2012
3,3.0,rotten,"August 24, 2012",2012
3,3.5,fresh,"August 24, 2012",2012
3,3.0,fresh,"August 24, 2012",2012
3,4.0,fresh,"August 24, 2012",2012
